currency,year,exchange_rate_to_one_sgd
XDR,2020,0.5194425343515993
ANG,2020,1.308982157686958
GIP,2020,0.5653894319064371
KGS,2020,57.7003581817985
MZN,2020,52.24022225550104
XPT,2020,0.0008185810236764996
BHD,2021,0.2806898313277848
BTC,2021,2.4111354712519834e-05
CVE,2021,69.56544007032474
HKD,2021,5.7838630899053936
ISK,2021,94.48048470324369
JEP,2021,0.5411544695489007
KES,2021,81.59493190694418
KWD,2021,0.22468454775879607
MYR,2021,3.0835838453148545
PGK,2021,2.625787699761251
SRD,2021,13.53667115521605
VUV,2021,81.96203111369508
YER,2021,186.05940697059899
ANG,2022,1.3074788214970292
AZN,2022,1.2333611853931317
BDT,2022,67.6309953235548
CUP,2022,18.676651785885344
GBP,2022,0.5884342380534473
GYD,2022,151.75326566996003
LSL,2022,11.858259016593818
MNT,2022,2264.727099973007
MZN,2022,46.32021858299489
RSD,2022,80.95301144360128
SCR,2022,9.849871567655091
SLL,2022,9948.08464029177
STN,2022,17.038020043391732
THB,2022,25.38977095498627
ZMW,2022,12.272371887144255
ZMW,2023,14.520779836844714
MMK,2023,1561.6529793993066
QAR,2023,2.711848174644947
SBD,2023,6.19600781791055
DJF,2023,132.3803901081757
ERN,2023,11.159968591514039
KZT,2023,339.0825755233985
CNY,2023,5.253284050476815
TZS,2023,1790.0964623031118
DKK,2010,4.129873695921306
ILS,2010,2.738993666717972
AED,2010,2.693964717657516
ALL,2010,75.07671997994656
BBD,2010,1.4399184417239552
BZD,2010,1.4207490879798594
CUP,2010,0.7181926439890599
IQD,2010,841.0599649180247
PGK,2010,1.8967915206145576
XAF,2010,356.8695531731941
CHF,2011,0.7050011329412174
NOK,2011,4.45753050668185
GHS,2011,1.2157541300345485
GNF,2011,5495.592577297806
ILS,2011,2.8443757071811913
MRO,2011,219.97997735621126
NGN,2011,122.2522848920919
SOS,2011,1263.1762796631722
STD,2011,13906.806709622064
TTD,2011,4.991840885668669
TZS,2011,1244.8253994832526
USD,2012,0.8006980371764683
JPY,2012,63.917186204214914
HUF,2012,179.89190516278782
NOK,2012,4.6564050646966555
ZAR,2012,6.568081713014659
DOP,2012,30.806059819104284
MWK,2012,194.30730233082633
SCR,2012,10.42213818684827
XPF,2012,73.17331268679139
BIF,2013,1224.2987364540393
CLP,2013,387.4010901252425
DOP,2013,32.733588584104254
MGA,2013,1743.0132512390694
NAD,2013,7.5661922569235625
SAR,2013,2.994284122274152
TZS,2013,1264.8846678947264
UYU,2013,15.936432054043774
INR,2014,48.12165986325297
DOP,2014,33.71307580921988
KHR,2014,3129.9624327541787
LSL,2014,8.427236931157827
NGN,2014,128.67661413669353
HRK,2015,4.991252499029582
ARS,2015,6.726375671006526
BIF,2015,1124.9268166283991
ETB,2015,14.902343893496301
KES,2015,70.1576109839182
MVR,2015,10.900904129782846
TZS,2015,1450.2564905871989
UGX,2015,2326.9742948284616
NOK,2016,6.081110158503538
ARS,2016,10.682744239088887
BWP,2016,7.7910133922755955
LBP,2016,1065.2486661287905
MOP,2016,5.665072536512928
RSD,2016,80.4793864571772
RWF,2016,556.3808090795613
SVC,2016,6.186067803991117
UGX,2016,2447.806513996569
UYU,2016,21.456433644462393
KRW,2017,817.5772104954182
MYR,2017,3.06494192245769
ZAR,2017,9.643981793242515
ISK,2017,77.15603321381278
LAK,2017,5816.08648582976
MKD,2017,39.229789546206646
QAR,2017,2.603843858703591
TMT,2017,2.4641667569208034
AWG,2017,1.314036566065282
BRL,2018,2.7031668020928907
BAM,2018,1.2221451568142938
BYN,2018,1.498683078280175
LBP,2018,1111.7093203675977
MOP,2018,5.862298248290294
MZN,2018,44.28884364962924
NGN,2018,265.29205241438956
NPR,2018,80.01522420404162
QAR,2018,2.6065943257733393
GBP,2019,0.5744797455269014
ILS,2019,2.605995017455026
MYR,2019,3.020740250744346
SGD,2019,1.0
THB,2019,22.73576908448698
HTG,2019,65.16674221608271
KYD,2019,0.5987369651140548
ZMW,2019,9.40864902036778
ARS,2020,51.23920772113612
BOB,2020,4.9634076279336625
KHR,2020,2940.079172547588
PYG,2020,4883.005568572159
AZN,2020,1.2414641453149107
TJS,2020,7.68814263931443
GYD,2020,152.5203980726805
IMP,2020,0.5653894319064371
KMF,2020,370.7617637372396
SLL,2020,7212.005107452317
BND,2021,0.9998958487555766
BRL,2021,4.015968900091432
BTN,2021,54.96297727990299
CZK,2021,16.136073554903493
FKP,2021,0.5411599170365178
ILS,2021,2.405146452849692
KRW,2021,851.84527306971
NOK,2021,6.397698720259845
RON,2021,3.0965489238917696
SCR,2021,12.021302862044395
SLL,2021,7756.088748041971
UAH,2021,20.297996944574678
XAG,2021,0.02988461513955515
XCD,2021,2.0111338166249135
XPD,2021,0.0005219057055060684
ARS,2022,94.67823506373139
BYN,2022,2.0718623064209725
EGP,2022,13.928432123871648
HNL,2022,17.846336763676057
KYD,2022,0.6048110848808238
NAD,2022,11.819448476167754
SDG,2022,361.5887371727818
